Rk,Name â–²,G,Year,Age,Tm,Lg,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1,Alex Bregman,155,2017,23,HOU,AL,626,556,88,158,39,5,19,71,55,2,97,7,1,7,15,17,5,0.284,0.352,0.475,0.827,*56/H4D
2,Anthony Rendon,147,2017,27,WSN,NL,605,508,81,153,41,1,25,100,84,6,82,7,0,6,7,7,2,0.301,0.403,0.533,0.937,*5/H
3,Chase Headley,147,2017,33,NYY,AL,586,512,77,140,30,1,12,61,60,2,132,6,1,7,10,9,2,0.273,0.352,0.406,0.758,*53DH/4
4,Cory Spangenberg,129,2017,26,SDP,NL,486,444,57,117,18,2,13,46,34,1,128,5,2,1,2,11,3,0.264,0.322,0.401,0.723,*57/H4
5,David Freese,130,2017,34,PIT,NL,503,426,44,112,16,0,10,52,58,5,116,15,0,4,10,0,1,0.263,0.368,0.371,0.739,*5H/D3
6,Derek Dietrich,135,2017,27,MIA,NL,464,406,56,101,22,5,13,53,36,5,98,18,0,4,4,0,1,0.249,0.334,0.424,0.758,*5H43/7
7,Eduardo Escobar,129,2017,28,MIN,AL,499,457,62,116,16,5,21,73,33,3,98,5,1,3,5,5,1,0.254,0.309,0.449,0.758,*5D6H/472
8,Eugenio Suarez,156,2017,25,CIN,NL,632,534,87,139,25,2,26,82,84,1,147,9,0,5,16,4,5,0.26,0.367,0.461,0.828,*5/H6
9,Evan Longoria,156,2017,31,TBR,AL,677,613,71,160,36,2,20,86,46,3,109,6,0,12,18,6,1,0.261,0.313,0.424,0.737,*5D
10,Jake Lamb,149,2017,26,ARI,NL,635,536,89,133,30,4,30,105,87,13,152,7,0,5,15,6,4,0.248,0.357,0.487,0.844,*5/HD
11,Jedd Gyorko,125,2017,28,STL,NL,481,426,52,116,21,2,20,67,47,1,105,1,0,7,12,6,2,0.272,0.341,0.472,0.813,*5H3/4D7
12,Joey Gallo,145,2017,23,TEX,AL,532,449,85,94,18,3,41,80,75,1,196,8,0,0,3,7,2,0.209,0.333,0.537,0.869,537/HD
13,Jose Ramirez,152,2017,24,CLE,AL,645,585,107,186,56,6,29,83,52,5,69,3,0,5,13,17,5,0.318,0.374,0.583,0.957,*54/H
14,Josh Donaldson,113,2017,31,TOR,AL,496,415,65,112,21,0,33,78,76,1,111,3,0,2,5,2,2,0.27,0.385,0.559,0.944,*5/D6H
15,Justin Turner,130,2017,32,LAD,NL,543,457,72,147,32,0,21,71,59,5,56,19,1,7,12,7,1,0.322,0.415,0.53,0.945,*5/HD
16,Kris Bryant,151,2017,25,CHC,NL,665,549,111,162,38,4,29,73,95,5,128,15,0,6,8,7,5,0.295,0.409,0.537,0.946,*5/9837H
17,Kyle Seager,154,2017,29,SEA,AL,650,578,72,144,33,1,27,88,58,6,110,8,0,6,6,2,1,0.249,0.323,0.45,0.773,*5/H
18,Luis Valbuena,117,2017,31,LAA,AL,401,347,42,69,15,0,22,65,48,1,106,1,0,5,6,0,2,0.199,0.294,0.432,0.727,*53H/D
19,Maikel Franco,154,2017,24,PHI,NL,623,575,66,132,29,1,24,76,41,3,95,2,0,5,21,0,0,0.23,0.281,0.409,0.69,*5/HD3
20,Manny Machado,156,2017,24,BAL,AL,690,630,81,163,33,1,33,95,50,3,115,1,0,9,17,9,4,0.259,0.31,0.471,0.782,*5
21,Miguel Sano,114,2017,24,MIN,AL,483,424,75,112,15,2,28,77,54,5,173,4,0,1,12,0,0,0.264,0.352,0.507,0.859,*5D/3H
22,Mike Moustakas,148,2017,28,KCR,AL,598,555,75,151,24,0,38,85,34,7,94,3,0,6,18,0,0,0.272,0.314,0.521,0.835,*5D/H
23,Nicholas Castellanos,157,2017,25,DET,AL,665,614,73,167,36,10,26,101,41,0,142,5,0,5,12,4,5,0.272,0.32,0.49,0.811,*59/DH
24,Nolan Arenado,159,2017,26,COL,NL,680,606,100,187,43,7,37,130,62,9,106,4,1,6,21,3,2,0.309,0.373,0.586,0.959,*5/H
25,Todd Frazier,147,2017,31,TOT,AL,576,474,74,101,19,1,27,76,83,2,125,14,0,5,10,4,3,0.213,0.344,0.428,0.772,*5D/3H
26,Travis Shaw,144,2017,27,MIL,NL,606,538,84,147,34,1,31,101,60,6,138,4,1,3,20,10,0,0.273,0.349,0.513,0.862,*5/HD3
27,Trevor Plouffe,100,2017,31,TOT,AL,313,283,31,56,7,0,9,19,28,2,88,1,0,1,12,1,2,0.198,0.272,0.318,0.59,*5HD3/4
28,Wilmer Flores,110,2017,25,NYM,NL,362,336,42,91,17,1,18,52,17,1,54,3,0,6,14,1,1,0.271,0.307,0.488,0.795,*53H4/D
